asof,ticker,smirk,otm_call_oi,otm_call_oi_d5
2026-08-06,LYFT,0.37499625000000003,1096.0,
2026-08-06,MAGN,0.37499625000000003,0.0,
2026-08-06,MAIN,0.187498125,0.0,
2026-08-06,MARA,0.37499625000000003,0.0,
2026-08-06,MATW,1.3398376757812498,0.0,
2026-08-06,MBGL,,0.0,
2026-08-06,MBI,2.0468717578124997,0.0,
2026-08-06,MBX,0.187498125,0.0,
2026-08-06,MCHP,0.48437015625,0.0,
2026-08-06,MDA,0.2187478125,0.0,
2026-08-06,MDU,0.0,0.0,
2026-08-06,MERC,,0.0,
2026-08-06,MFIC,,4.0,
2026-08-06,MITK,0.4687453125,0.0,
2026-08-06,MLCO,0.12499874999999999,0.0,
2026-08-06,MMI,1.987300656738281,0.0,
2026-08-06,MMS,0.2187478125,0.0,
2026-08-06,MNR,0.12499874999999999,0.0,
2026-08-06,MNST,0.2187478125,0.0,
2026-08-06,MP,0.43749562500000005,0.0,
2026-08-06,MRVI,0.0,0.0,
2026-08-06,MSDL,,0.0,
2026-08-06,MTSI,0.2187478125,0.0,
2026-08-06,MTW,0.187498125,0.0,
2026-08-06,MVIS,,0.0,
2026-08-06,NATR,3.134758725585937,39.0,
2026-08-06,NAVI,0.12499874999999999,0.0,
2026-08-06,NB,0.0,0.0,
2026-08-06,NET,0.4687453125,0.0,
2026-08-06,NEWT,0.0,0.0,
2026-08-06,NGVC,0.12499874999999999,0.0,
2026-08-06,NNI,,0.0,
2026-08-06,NOG,0.23437265625,0.0,
2026-08-06,NRDS,0.12499874999999999,0.0,
2026-08-06,NRDY,,0.0,
2026-08-06,NREF,2.925774404296875,3.0,
2026-08-06,NSIT,0.187498125,0.0,
2026-08-06,NTCT,,0.0,
2026-08-06,NTGR,0.2187478125,0.0,
2026-08-06,NTLA,0.12499874999999999,0.0,
2026-08-06,NTRA,0.2187478125,0.0,
2026-08-06,NUVB,0.0,0.0,
2026-08-06,NVAX,0.37499625000000003,0.0,
2026-08-06,NVMI,0.23437265625,0.0,
